Source,Date,Researcher,Species,Breeding,Block,Latitude,Longitude
Incidental,5/25/2022,Mark Dettling,HOFI,NE,10-7,37.92968,-122.73562
Incidental,4/17/2022,Mark Dettling,OCWA,NE,10-7,37.93167,-122.74092
Incidental,4/9/2022,Patricia Diluzio,DEJU,NE,13-15,37.96234,-122.55518
Incidental,6/3/2022,Scott Jennings,GBHE,NE,16-1,37.9649794,-122.4695579
Incidental,5/6/2024,Maggie Brown,WEFL,NE,13-4,37.96699,-122.59029
Incidental,5/22/2025,Asher Leeming,WEFL,NE,13-4,37.9726675,-122.5841061
Incidental,5/27/2022,Gerry McChesney,COMU,NE,3-11,37.992176,-122.98601
Incidental,5/27/2022,Gerry McChesney,WEGU,NE,3-11,37.992176,-122.98601
Incidental,5/7/2022,Ann Linder,TUVU,NE,9-24,38.0056,-122.6331
Incidental,6/19/2021,Ann Linder,TUVU,NE,9-24,38.00564,-122.63319
Incidental,6/6/2023,Mark Dettling,DEJU,NE,9-12,38.01197,-122.70003
Incidental,3/23/2024,Megan Elrod,ALHU,NE,9-12,38.012081,-122.70042
Incidental,6/2/2021,Kenneth Hillan,WITU,NE,9-10,38.0293728,-122.7065654
Incidental,6/14/2022,Renee Cormier,CEDW,NE,6-7,38.043541,-122.862689
Incidental,5/10/2021,Nancy Hanson,AMRO,NE,6-20,38.05030219,-122.7599154
Incidental,4/9/2023,Russell Scalf,ANHU,NE,6-5,38.07543889,-122.8519861
Incidental,4/8/2022,Bob Battagin,GBHE,NE,9-5,38.07578833,-122.7309623
Incidental,3/19/2022,Janet Bodle,GREG,NE,12-18,38.08007504,-122.5266028
Incidental,7/16/2025,Ron Brown,AMGO,NE,3-6,38.08161,-122.95681
Incidental,2/12/2024,Jim Spaulding,ABOW,NE,12-16,38.0844093,-122.5194217
Incidental,5/16/2023,Joel Hedgpeth,WEFL,NE,12-4,38.0874,-122.5804
Incidental,4/24/2025,Bob Battagin,KILL,NE,6-16,38.094111,-122.756382
Incidental,5/24/2024,Ben DeDominic,KILL,NE,3-15,38.0945698,-122.9293104
Incidental,3/11/2022,Sylvie Silverstein,ANHU,NE,12-15,38.0978,-122.5352
Incidental,4/24/2021,Jeanine Starritt,HOFI,NE,12-2,38.105728,-122.580204
Incidental,4/18/2024,Rusty Scalf,MUSW,NE,11-23,38.130798,-122.552155
Incidental,5/30/2024,David Lumpkin,MODO,NE,2-20,38.170122,-122.8988419
Incidental,5/6/2025,Jim Jensen,KILL,NE,2-14,38.243796,-122.898797
Incidental,5/25/2021,"Browne, Brian",ABOW,NU,13-17,37.9485481,-122.546979
